Make,Model,Year,Mileage,ImportHistory,FuelEconomy
bmw,116i,2012,"78,500km",Imported,"1598cc, Petrol, Automatic"
volkswagen,tiguan,2011,"58,028km",Imported,"2000cc, Petrol, Automatic"
volkswagen,polo,2011,"67,479km",Imported,"1380cc, Petrol, Automatic"
lexus,rx-450h,2011,"71,725km",Imported,"3456cc, Hybrid, Automatic"
jaguar,xf,2011,"127,700km",Imported,"2200cc, Diesel, Automatic"
honda,fit,2011,"63,000km",Imported,"1300cc, Hybrid, Automatic"
ford,kuga,2011,"62,019km",Imported,"2500cc, Petrol, Automatic"
bmw,523i,2011,"39,028km",Imported,"2500cc, Petrol, Automatic"
nissan,x-trail,2009,"197,759km",New Zealand New,"1995cc, Diesel, Tiptronic"
bmw,320i,2009,"114,562km",Imported,"1995cc, Petrol, Automatic"
bmw,x5,2008,"138,700km",Imported,"2990cc, Petrol, Automatic"
suzuki,grand-vitara,2007,"198,000km",New Zealand New,"1995cc, Petrol, Automatic"
bmw,525i,2006,"73,600km",Imported,"2500cc, Petrol, Automatic"
mercedes-benz,slk-350,2005,"94,500km",Imported,"3500cc, Petrol, Automatic"
mercedes-benz,300-e,1991,N/A,Imported,N/A
toyota,corolla,1989,N/A,New Zealand New,N/A
